"識別id","利用時間","制限時間","手数料","制限事項1","制限事項2","種別","普通車","貨物用有り","二輪車","標章車専用有り"
96,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
97,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
98,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
99,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
100,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
101,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
103,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
104,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
105,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
106,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
107,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
108,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
109,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
110,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
112,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
115,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
117,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
118,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
119,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
122,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
124,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
125,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
126,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
127,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
128,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
129,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
130,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
131,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
132,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
133,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
134,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
135,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
136,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
137,"08:00-20:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
138,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
139,"08:00-20:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
140,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
141,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
142,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
143,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
144,"08:00-20:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
145,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
146,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
148,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
149,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
150,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
151,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
153,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
154,"08:00-20:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
155,"08:00-20:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
