"識別id","利用時間","制限時間","手数料","制限事項1","制限事項2","種別","普通車","貨物用有り","二輪車","標章車専用有り"
375,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
376,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
378,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
379,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
380,"08:00-20:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
381,"08:00-20:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
382,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
383,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
384,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
385,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
386,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
387,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
388,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
389,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
391,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
392,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
394,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
398,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
400,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
401,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
403,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
406,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
407,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
410,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
411,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
413,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
414,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
415,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
417,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
418,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
419,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
420,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
421,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
422,"09:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
424,"09:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
425,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
426,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
427,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
428,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
429,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
430,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
431,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
434,"09:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
435,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
439,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
441,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
443,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
445,"09:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,1
446,"09:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
447,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
448,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
450,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
453,"07:00-20:00","40","200",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
454,"07:00-20:00","40","200",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
455,"07:00-20:00","40","200",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
456,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
457,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
458,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
460,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
461,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
462,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
464,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
466,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
469,"09:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
472,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
475,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
476,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
477,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
478,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
479,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
480,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
483,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
484,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
485,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
486,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
488,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
489,"10:00-20:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
490,"10:00-20:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
492,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
494,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
496,"09:00-20:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
498,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
500,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
502,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
503,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
505,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
506,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
508,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
510,"09:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
512,"09:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
513,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
515,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
517,"09:00-20:00","20","100",,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
519,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
521,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
523,"10:00-20:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
525,"09:00-20:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
527,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
529,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
531,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
533,"09:30-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
535,"09:30-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
537,"09:30-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
539,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
541,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
542,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
544,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
546,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
547,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
548,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
552,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
553,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
555,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
556,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
557,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
559,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
560,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
562,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
564,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
566,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
568,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
569,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
571,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
573,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
575,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
576,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
577,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
579,"08:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
580,"09:30-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
582,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
584,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
585,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
587,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
589,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
591,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
593,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
595,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
597,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
598,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
599,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
601,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
605,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
606,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
607,"09:00-20:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
609,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
611,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
613,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
614,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
616,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
618,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
620,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
621,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
622,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
625,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
627,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
631,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
633,"09:00-19:00","60","300",土・日曜、休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
634,"09:00-19:00","60","300",土・日曜、休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
635,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
637,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
639,"09:00-19:00","60","300",土・日曜、休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
641,"09:00-19:00","60","300",土・日曜、休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
643,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
644,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
645,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
647,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
648,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
650,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
652,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
653,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
654,"09:30-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
660,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
662,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
664,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
667,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
669,"09:00-19:00","60","300",土・日曜、休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
671,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
672,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
674,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
676,"09:30-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
678,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
680,"09:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
682,"09:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
684,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
688,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
690,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
692,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
694,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
696,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
698,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
699,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
701,"09:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
704,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
706,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
710,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
713,"09:30-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
717,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
721,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
723,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
724,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
725,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
727,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
728,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
730,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
732,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
734,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
737,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
739,"09:30-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
740,"09:30-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
744,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
747,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
751,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
753,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
755,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,1
756,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,1
757,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
758,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
759,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
761,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
763,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
765,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
767,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
769,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
771,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
772,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
775,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
777,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
778,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
781,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
783,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
785,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
789,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
791,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
793,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
795,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
796,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
800,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
801,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
803,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
804,"09:30-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
806,"09:30-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
808,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
809,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
811,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
813,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
814,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
816,"09:00-19:00","60","300",土・日曜、休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
818,"09:00-20:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
820,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
822,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
823,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
824,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
826,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
827,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
829,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
831,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
832,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
834,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
836,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
837,"09:00-19:00","60","300",土・日曜、休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
839,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
841,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
843,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
845,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
846,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
